location_name,iso_a3,highBP,highLDL,diabetes,smoking,highBMI,unhealthyDiet,lowPhysicalActivity,,,,,,,,,
Switzerland,CHE,126.27480290,73.14745479,50.09973917,27.02026999,37.15648514,88.34076881,15.62476261,,,,,,,,,
Syrian Arab Republic,SYR,165.02132670,115.32700800,101.13261710,64.38968444,88.29785963,127.97782950,26.97352174,,,,,,,,,
Taiwan (Province of China),TWN,85.91537001,39.21367233,32.20280802,20.60177473,24.98228622,50.41091828,5.96688180,,,,,,,,,
Tajikistan,TJK,135.73642520,59.78705388,63.13980247,31.64198784,38.70282572,104.83406740,4.46574254,,,,,,,,,
Thailand,THA,73.22988789,41.76225480,35.98874363,22.89577099,26.88937304,55.79357519,4.74542872,,,,,,,,,
Timor-Leste,TLS,109.95060150,31.29684703,46.86328943,27.99288040,13.40792233,72.60011982,3.41323833,,,,,,,,,
Togo,TGO,64.59852507,20.86720035,10.52467675,11.04037213,21.57783550,36.41160151,1.94296344,,,,,,,,,
Tokelau,TKL,159.43729400,77.96761379,93.73631958,47.95478920,80.94420818,117.87716460,12.60219299,,,,,,,,,
Tonga,TON,93.33703629,50.00103949,51.05473099,33.20596486,43.84434723,69.13999038,7.44147027,,,,,,,,,
Trinidad and Tobago,TTO,166.24787470,79.20450911,87.57369933,35.09808370,77.67299670,96.40725766,19.65914702,,,,,,,,,
Tunisia,TUN,155.65151440,92.29273612,93.64297047,48.35802307,76.11903150,90.97424068,12.08596861,,,,,,,,,
Turkey,TUR,118.64262110,54.50415476,47.02398251,35.67949867,60.57027514,51.59820483,15.01076177,,,,,,,,,
Turkmenistan,TKM,216.31712190,108.22560250,69.73503560,58.46925839,111.47711670,174.98012640,10.80782210,,,,,,,,,
Tuvalu,TUV,188.21229120,94.58044478,113.22290450,72.60006749,93.01813227,147.41776890,11.58068808,,,,,,,,,
Uganda,UGA,40.32727361,7.51505906,11.42286881,4.13647841,11.84000267,18.07763806,0.48111516,,,,,,,,,
Ukraine,UKR,536.51313510,373.12512750,143.22559750,168.97289210,236.18234870,430.65957360,26.93594465,,,,,,,,,
United Arab Emirates,ARE,56.54216133,42.30414205,22.09261111,21.09735167,53.14176352,31.75997988,8.78188365,,,,,,,,,
United Kingdom,GBR,123.10489880,71.44825542,73.25616238,39.46867210,46.49726769,94.79094204,15.99980473,,,,,,,,,
United Republic of Tanzania,TZA,62.33982702,15.24833033,12.42901538,10.70094298,18.95444588,29.11906781,0.74895114,,,,,,,,,
United States of America,USA,129.63493710,69.01136320,76.18516638,43.08222775,67.32067367,105.10201520,8.38533428,,,,,,,,,
United States Virgin Islands,VIR,263.24298470,122.79534400,138.87544270,46.98752754,141.60241560,145.43112390,17.48370836,,,,,,,,,
Uruguay,URY,140.99280860,69.31474089,45.41697686,35.98567068,48.34311915,99.80829014,7.93617104,,,,,,,,,
Uzbekistan,UZB,180.38041870,112.06689230,90.92789183,48.62946229,92.80902671,159.66861560,7.40102631,,,,,,,,,
Vanuatu,VUT,187.28812710,82.81912273,85.40965909,44.32841242,76.47621500,123.26660950,5.33845246,,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,130.77885300,54.40788828,64.16452704,25.19269257,53.17507094,87.21106324,2.92943472,,,,,,,,,
Viet Nam,VNM,149.03353400,42.13103089,60.03815388,42.68505947,24.81090026,86.77388493,3.99284920,,,,,,,,,
Yemen,YEM,92.22288479,53.71105735,35.63481490,35.43072205,30.68401694,75.60744499,10.69365302,,,,,,,,,
Zambia,ZMB,51.60301175,11.58187733,13.76440389,8.72496868,21.98046475,31.03967240,1.06829987,,,,,,,,,
